name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"明雅國際幼兒學校","MINK INTERNATIONAL PRE-SCHOOL","幼稚園","國際","大埔區","edb_567027000111;edb_567027000112;edb_567027000113","","",0,0
"MONTESSORI FOR CHILDREN (NURSERY)","MONTESSORI FOR CHILDREN (NURSERY)","幼稚園","國際","南區","edb_565466000111;edb_565466000112","","",0,0
"懋柏禮國際幼稚園","MULBERRY HOUSE INTERNATIONAL KINDERGARTEN","幼稚園","國際","大埔區","edb_601721000112;edb_601721000111","","",0,0
"MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE","MULBERRY HOUSE INTERNATIONAL KINDERGARTEN SOUTHSIDE","幼稚園","國際","南區","edb_578053000112;edb_578053000111","","",0,0
"童樂天國際幼稚園","MULBERRY TREE INTERNATIONAL KINDERGARTEN","幼稚園","國際","沙田區","edb_598054000111;edb_598054000112","","",0,0
"麥克萊國際幼稚園","MYNORS INTERNATIONAL KINDERGARTEN","幼稚園","國際","北區","edb_601250000111;edb_601250000112;edb_601250000113","","",0,0
"NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG)","NORD ANGLIA INTERNATIONAL PRE-SCHOOL (SAI KUNG)","幼稚園","國際","西貢區","edb_608475000112;edb_608475000111","","",0,0
"NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG","NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG","小學;中學","國際","觀塘區","edb_598356000223;edb_598356000333","BRITISH","ENGLISH",184380,214340
"NORWEGIAN INTERNATIONAL SCHOOL","NORWEGIAN INTERNATIONAL SCHOOL","幼稚園;小學","國際","大埔區","edb_215520000111;edb_215520000113;edb_215520000112;edb_215520000123","OTHER_INTL","ENGLISH",80850,133200
"栢基國際幼稚園","PARKVIEW INTERNATIONAL PRE-SCHOOL","幼稚園","國際","南區","edb_215937000112;edb_215937000111","","",0,0
"栢基國際幼稚園(九龍)","PARKVIEW INTERNATIONAL PRE-SCHOOL (KOWLOON)","幼稚園","國際","油尖旺區","edb_571490000113;edb_571490000111;edb_571490000112","","",0,0
"PEAK SCHOOL","PEAK SCHOOL","小學","國際","中西區","edb_170860000123","BRITISH","ENGLISH",139000,139000
"培僑國際幼稚園","PUI KIU INTERNATIONAL KINDERGARTEN","幼稚園","國際","沙田區","edb_613916000112;edb_613916000111","","",0,0
