name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (KENNEDY TOWN)","GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (KENNEDY TOWN)","幼稚園","國際","中西區","edb_611484000112;edb_611484000111","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (POK FU LAM)","GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (POK FU LAM)","幼稚園","國際","南區","edb_598089000112;edb_598089000111","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (HAPPY VALLEY HAWTHORN ROAD)","GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (HAPPY VALLEY HAWTHORN ROAD)","幼稚園","國際","灣仔區","edb_564958000111;edb_564958000112","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (MID-LEVELS)","GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (MID-LEVELS)","幼稚園","國際","中西區","edb_594725000111;edb_594725000112","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (REPULSE BAY)","GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (REPULSE BAY)","幼稚園","國際","南區","edb_602256000112;edb_602256000111","","",0,0
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG)","GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG)","幼稚園","國際","西貢區","edb_578630000111;edb_578630000112","","",0,0
"哈羅香港國際學校","HARROW INTERNATIONAL SCHOOL HONG KONG","幼稚園;小學;中學","國際","屯門區","edb_590800000113;edb_590800000123;edb_590800000133","BRITISH","ENGLISH",201314,239070
"香港學堂國際學校","HONG KONG ACADEMY","幼稚園;小學;中學","國際","西貢區","edb_539155000311;edb_539155000323;edb_539155000333","IB","ENGLISH",221800,264700
"HONG KONG INTERNATIONAL SCHOOL","HONG KONG INTERNATIONAL SCHOOL","小學;中學","國際","南區","edb_213772000123;edb_213772000233","AMERICAN","ENGLISH",224800,263300
"HONGKONG JAPANESE SCHOOL","HONGKONG JAPANESE SCHOOL","小學;中學","國際","灣仔區","edb_317357000123;edb_317357000133","OTHER_INTL","JAPANESE",140460,140460
"基督教國際學校","INTERNATIONAL CHRISTIAN SCHOOL","小學;中學","國際","沙田區","edb_569836000123;edb_569836000133","CANADIAN","ENGLISH",148400,201500
"基督教國際學校－幼稚園","INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN","幼稚園","國際","沙田區","edb_542598000211;edb_542598000212","","",91000,148400
"INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES)","INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES)","中學","國際","北區","edb_578789000133","IB","ENGLISH",184500,204900
"INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION)","INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION)","幼稚園","國際","大埔區","edb_230944000112;edb_230944000113;edb_230944000111","","",25170,145110
"INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION)","INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION)","小學","國際","大埔區","edb_230979000123","IB","ENGLISH",145110,145110
"INVICTUS KINDERGARTEN","INVICTUS KINDERGARTEN","幼稚園","國際","西貢區","edb_615366000113","","",0,0
"INVICTUS SCHOOL","INVICTUS SCHOOL","小學","國際","西貢區","edb_615285000123","BRITISH","ENGLISH",0,0
"INVICTUS SECONDARY SCHOOL","INVICTUS SECONDARY SCHOOL","中學","國際","東區","edb_616354000133","BRITISH","ENGLISH",0,0
"港島兒童蒙特梭利幼稚園","ISLAND CHILDREN'S MONTESSORI KINDERGARTEN","幼稚園","國際","灣仔區","edb_581119000111;edb_581119000112","","",0,0
