id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_215120000112","國際英文幼稚園","ST. CATHERINE'S INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_605638000123","STAMFORD AMERICAN SCHOOL HONG KONG","STAMFORD AMERICAN SCHOOL HONG KONG","小學","國際","私立","九龍","九龍城區","AMERICAN","ENGLISH",217100,220500
"edb_605638000133","STAMFORD AMERICAN SCHOOL HONG KONG","STAMFORD AMERICAN SCHOOL HONG KONG","中學","國際","私立","九龍","九龍城區","AMERICAN","ENGLISH",239900,264000
"edb_626864000133","STAMFORD AMERICAN SCHOOL HONG KONG (WEST KOWLOON)","STAMFORD AMERICAN SCHOOL HONG KONG (WEST KOWLOON)","中學","國際","私立","九龍","油尖旺區","AMERICAN","ENGLISH",239900,264000
"edb_548430000611","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",143000,206500
"edb_548430000311","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",0,0
"edb_548430000312","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",0,0
"edb_548430000711","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",0,0
"edb_548430000411","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",0,0
"edb_548430000412","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","幼稚園","國際","私立","港島","南區","","",0,0
"edb_548430000623","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","小學","國際","私立","港島","南區","OTHER_INTL","ENGLISH;PUTONGHUA",0,0
"edb_548430000633","蒙特梭利國際學校","THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL","中學","國際","私立","港島","南區","OTHER_INTL","ENGLISH;PUTONGHUA",0,0
"edb_170836000133","THE SOUTH ISLAND SCHOOL","THE SOUTH ISLAND SCHOOL","中學","國際","私立","港島","南區","IB","ENGLISH",159400,181100
"edb_216267000111","朗思國際幼稚園","THINK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","觀塘區","","",0,0
"edb_216267000113","朗思國際幼稚園","THINK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","觀塘區","","",0,0
"edb_216267000112","朗思國際幼稚園","THINK INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","觀塘區","","",0,0
"edb_533360000212","朗思國際幼稚園（馬鞍山）","THINK INTERNATIONAL KINDERGARTEN (MA ON SHAN)","幼稚園","國際","私立","新界","沙田區","","",0,0
"edb_533360000211","朗思國際幼稚園（馬鞍山）","THINK INTERNATIONAL KINDERGARTEN (MA ON SHAN)","幼稚園","國際","私立","新界","沙田區","","",0,0
"edb_533360000213","朗思國際幼稚園（馬鞍山）","THINK INTERNATIONAL KINDERGARTEN (MA ON SHAN)","幼稚園","國際","私立","新界","沙田區","","",0,0
"edb_612782000113","朗思國際幼稚園(南昌)","THINK INTERNATIONAL KINDERGARTEN (NAM CHEONG)","幼稚園","國際","私立","九龍","深水埗區","","",0,0
