school_id,stage,reason,candidate_info
edb_524557000133,中學,"No CHSC match","CHRISTIAN ALLIANCE S W CHAN MEMORIAL COLLEGE | 香港培正中學 | 荃灣區"
edb_230782000133,中學,"No CHSC match","BUDDHIST SUM HEUNG LAM MEMORIAL COLLEGE | 保良局朱敬文中學 | 西貢區"
edb_230855000133,中學,"No CHSC match","KWAI CHUNG METHODIST COLLEGE | 仁濟醫院董之英紀念中學 | 元朗區"
edb_510580000233,中學,"No CHSC match","PUI SHING CATHOLIC SECONDARY SCHOOL | 香港道教聯合會圓玄學院第二中學 | 沙田區"
edb_270091000133,中學,"No CHSC match","TUNG WAH GROUP OF HOSPITALS YOW KAM YUEN COLLEGE | 寶血會上智英文書院 | 沙田區"
edb_170437000133,中學,"No CHSC match","LUNG KONG WORLD FEDERATION SCHOOL LIMITED LAU WONG FAT SECONDARY SCHOOL | 東華三院呂潤財紀念中學 | 西貢區"
edb_214973000133,中學,"No CHSC match","BUDDHIST HUNG SEAN CHAU MEMORIAL COLLEGE | 賽馬會體藝中學 | 東區"
edb_511650000133,中學,"No CHSC match","THE CHURCH OF CHRIST IN CHINA ROTARY SECONDARY SCHOOL | 裘錦秋中學(葵涌) | 深水埗區"
edb_190098000133,中學,"No CHSC match","HO FUNG COLLEGE (SPONSORED BY THE SIK SIK YUEN) | 明愛陳震夏郊野學園 | 葵青區"
edb_260312000133,中學,"No CHSC match","HONG KONG SEA SCHOOL | 佛教志蓮中學 | 元朗區"
edb_170445000233,中學,"No CHSC match","SING YIN SECONDARY SCHOOL | 炮台山循道衛理中學 | 東區"
edb_530450000133,中學,"No CHSC match","POK OI HOSPITAL 80TH ANNIVERSARY TANG YING HEI COLLEGE | 余振強紀念中學 | 油尖旺區"
edb_545201000133,中學,"No CHSC match","HONG KONG AND KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG COLLEGE | 東華三院李嘉誠中學 | 油尖旺區"
edb_190330000133,中學,"No CHSC match","PO LEUNG KUK LEE SHING PIK COLLEGE | 可觀自然教育中心暨天文館 | 觀塘區"
edb_135011000133,中學,"No CHSC match","HONG KONG & KOWLOON CHIU CHOW PUBLIC ASSOCIATION SECONDARY SCHOOL | 迦密聖道中學 | 沙田區"
edb_230766000133,中學,"No CHSC match","LOK SIN TONG KU CHIU MAN SECONDARY SCHOOL | 明愛元朗陳震夏中學 | 中西區"
edb_270032000133,中學,"No CHSC match","CARITAS TUEN MUN MARDEN FOUNDATION SECONDARY SCHOOL | 中華基督教會譚李麗芬紀念中學 | 觀塘區"
edb_552917000133,中學,"No CHSC match","HKFEW WONG CHO BAU SECONDARY SCHOOL | 救世軍卜維廉中學 | 黃大仙區"
edb_518417000133,中學,"No CHSC match","SHAP PAT HEUNG RURAL COMMITTEE KUNG YIK SHE SECONDARY SCHOOL | 樂善堂梁植偉紀念中學 | 葵青區"
edb_214590000133,中學,"No CHSC match","MAN KIU COLLEGE | 潮州會館中學 | 九龍城區"
edb_190799000133,中學,"No CHSC match","HO DAO COLLEGE (SPONSORED BY SIK SIK YUEN) | 香港仔浸信會呂明才書院 | 南區"
edb_320609000133,中學,"No CHSC match","STEWARDS POOI TUN SECONDARY SCHOOL | 香港仔工業學校 | 九龍城區"
edb_213292000133,中學,"No CHSC match","THE PENTECOSTAL HOLINESS CHURCH WING KWONG COLLEGE | 聖公會陳融中學 | 大埔區"
edb_190462000133,中學,"No CHSC match","LIU PO SHAN MEMORIAL COLLEGE | 佛教大光慈航中學 | 沙田區"
edb_512281000133,中學,"No CHSC match","THE CHURCH OF CHRIST IN CHINA KEI CHI SECONDARY SCHOOL | 中華基督教會馮梁結紀念中學 | 屯門區"
edb_514020000133,中學,"No CHSC match","ST. CLARE'S GIRLS' SCHOOL | 東華三院鄺錫坤伉儷中學 | 沙田區"
edb_512710000133,中學,"No CHSC match","LOK SIN TONG WONG CHUNG MING SECONDARY SCHOOL | 明愛聖若瑟中學 | 屯門區"
edb_190357000133,中學,"No CHSC match","CARMEL ALISON LAM FOUNDATION SECONDARY SCHOOL | 樂善堂余近卿中學 | 荃灣區"
edb_170321000133,中學,"No CHSC match","ST. CATHARINE'S SCHOOL FOR GIRLS | 東華三院李潤田紀念中學 | 灣仔區"
edb_313076000133,中學,"No CHSC match","NAM WAH CATHOLIC SECONDARY SCHOOL | 中華傳道會李賢堯紀念中學 | 觀塘區"
edb_514128000133,中學,"No CHSC match","ST. MARY'S CANOSSIAN COLLEGE | 伊利沙伯中學舊生會湯國華中學 | 九龍城區"
edb_250490000133,小學,"No CHSC match","HONG CHI MORNINGLIGHT SCHOOL, YUEN LONG (SECONDARY SECTION) | 匡智元朗晨曦學校(小學部) | 沙田區"
edb_250368000133,中學,"No CHSC match","CARITAS RESURRECTION SCHOOL (SECONDARY SECTION) | 匡智元朗晨樂學校(中學部) | 元朗區"
edb_114448000133,小學,"No CHSC match","SAM SHUI NATIVES ASSOCIATION LAU PUN CHEUNG SCHOOL (SECONDARY SECTION) | 三水同鄉會劉本章學校(小學部) | 葵青區"
edb_114227000233,中學,"No CHSC match","HKSYC&IA CHAN NAM CHONG MEMORIAL SCHOOL (SECONDARY SECTION) | 香港耀能協會羅怡基紀念學校(中學部) | 葵青區"
edb_250309000133,小學,"No CHSC match","ROTARY CLUB OF HONG KONG ISLAND WEST HONG CHI MORNINGHOPE SCHOOL (SECONDARY SECTION) | 香港西區扶輪社匡智晨輝學校(小學部) | 大埔區"
edb_250244000423,小學,"No CHSC match","HONG CHI PINEHILL SCHOOL (PRIMARY SECTION) | 香港紅十字會醫院學校(小學部) | 黃大仙區"
edb_608491000133,中學,"No CHSC match","CARITAS MOTHER TERESA SCHOOL | 香港紅十字會醫院學校(中學部) | 葵青區"
edb_260215000733,小學,"No CHSC match","HONG KONG RED CROSS HOSPITAL SCHOOLS (SECONDARY SECTION) | 匡智松嶺第二校(小學部) | 大埔區"
edb_250473000323,中學,"No CHSC match","HAVEN OF HOPE SUNNYSIDE SCHOOL (PRIMARY SECTION) | 靈實恩光學校(中學部) | 深水埗區"
edb_250732000223,中學,"No CHSC match","HONG CHI MORNINGHOPE SCHOOL, TUEN MUN (PRIMARY SECTION) | 基督教中國佈道會聖道學校(中學部) | 觀塘區"
edb_250546000133,小學,"No CHSC match","TUNG WAH GROUP OF HOSPITALS KWAN FONG KAI CHI SCHOOL (SECONDARY SECTION) | 東華三院群芳啓智學校(小學部) | 九龍城區"
edb_250228000233,中學,"No CHSC match","PO LEUNG KUK ANITA L.L. CHAN (CENTENARY) SCHOOL (SECONDARY SECTION) | 將軍澳培智學校(中學部) | 西貢區"
edb_250627000233,小學,"No CHSC match","CARITAS LOK JUN SCHOOL (SECONDARY SECTION) | 明愛樂進學校(小學部) | 深水埗區"
edb_250147000133,中學,"No CHSC match","SAVIOUR LUTHERAN SCHOOL (SECONDARY SECTION) | 匡智屯門晨崗學校(中學部) | 屯門區"
edb_260150000123,中學,"No CHSC match","HONG CHI LIONS MORNINGHILL SCHOOL (PRIMARY SECTION) | 匡智獅子會晨崗學校(中學部) | 油尖旺區"
edb_618276000123,小學,"No CHSC match","TWGHS CHI-LI PAO SCHOOL (PRIMARY SECTION) | 禮賢會恩慈學校(小學部) | 屯門區"
edb_260266000133,小學,"No CHSC match","SAHK KO FOOK IU MEMORIAL SCHOOL (SECONDARY SECTION) | 匡智屯門晨崗學校(小學部) | 南區"
edb_250031000133,小學,"No CHSC match","HONG KONG RED CROSS JOHN F. KENNEDY CENTRE (SECONDARY SECTION) | 香港基督教服務處培愛學校(小學部) | 屯門區"
edb_250538000133,中學,"No CHSC match","RHENISH CHURCH GRACE SCHOOL (SECONDARY SECTION) | 香港紅十字會雅麗珊郡主學校(中學部) | 大埔區"
edb_250341000123,小學,"No CHSC match","EBENEZER NEW HOPE SCHOOL (PRIMARY SECTION) | 才俊學校(小學部) | 元朗區"
edb_260142000123,中學,"No CHSC match","HONG KONG RED CROSS PRINCESS ALEXANDRA SCHOOL (PRIMARY SECTION) | 才俊學校(中學部) | 大埔區"
edb_250236000123,中學,"No CHSC match","THE CHURCH OF CHRIST IN CHINA KEI SHUN SPECIAL SCHOOL (PRIMARY SECTION) | 中華基督教會基順學校(中學部) | 深水埗區"
edb_250619000233,中學,"No CHSC match","PO LEUNG KUK LAW'S FOUNDATION SCHOOL (SECONDARY SECTION) | 明愛賽馬會樂仁學校(中學部) | 屯門區"
edb_250082000133,小學,"No CHSC match","MARY ROSE SCHOOL (SECONDARY SECTION) | 匡智屯門晨曦學校(小學部) | 九龍城區"
edb_250074000233,小學,"No CHSC match","HONG KONG RED CROSS MARGARET TRENCH SCHOOL (SECONDARY SECTION) | 香港紅十字會瑪嘉烈戴麟趾學校(小學部) | 元朗區"
edb_250503000123,小學,"No CHSC match","TUNG WAH GROUP OF HOSPITALS TSUI TSIN TONG SCHOOL (PRIMARY SECTION) | 瑪利灣學校(小學部) | 沙田區"
edb_250406000233,中學,"No CHSC match","PO LEUNG KUK MR. & MRS. CHAN PAK KEUNG TSING YI SCHOOL (SECONDARY SECTION) | 東華三院徐展堂學校(中學部) | 葵青區"
edb_112526000133,小學,"No CHSC match","SHATIN PUBLIC SCHOOL (SECONDARY SECTION) | 香港扶幼會則仁中心學校(小學部) | 南區"
edb_250350000123,中學,"No CHSC match","THE SALVATION ARMY SHEK WU SCHOOL (PRIMARY SECTION) | 救世軍石湖學校(中學部) | 東區"
edb_250457000233,小學,"No CHSC match","CARITAS LOK KAN SCHOOL (SECONDARY SECTION) | 保良局余李慕芬紀念學校(小學部) | 元朗區"
edb_250163000133,小學,"No CHSC match","SOCIETY OF BOYS' CENTRES CHAK YAN CENTRE SCHOOL (SECONDARY SECTION) | 道慈佛社楊日霖紀念學校(小學部) | 西貢區"
edb_250112000123,中學,"No CHSC match","HONG CHI MORNINGHILL SCHOOL, TSUI LAM (PRIMARY SECTION) | 明愛培立學校(中學部) | 南區"
edb_260320000133,小學,"No CHSC match","MARYCOVE SCHOOL (SECONDARY SECTION) | 路德會啓聾學校(小學部) | 葵青區"
edb_250279000133,中學,"No CHSC match","HONG CHI WINIFRED MARY CHEUNG MORNINGHOPE SCHOOL (SECONDARY SECTION) | 路德會啓聾學校(中學部) | 南區"
edb_260037000123,小學,"No CHSC match","EBENEZER SCHOOL (PRIMARY SECTION) | 香港扶幼會盛德中心學校(小學部) | 觀塘區"
edb_250600000333,中學,"No CHSC match","HHCKLA BUDDHIST PO KWONG SCHOOL (SECONDARY SECTION) | 賽馬會匡智學校(中學部) | 深水埗區"
edb_250392000233,小學,"No CHSC match","THE CHURCH OF CHRIST IN CHINA, MONGKOK CHURCH KAI OI SCHOOL (SECONDARY SECTION) | 賽馬會匡智學校(小學部) | 深水埗區"
