officialId,officialNameZh,officialNameEn,schoolType,level,district,financeType,website
542768000111,保良局譚華正夫人幼稚園,PO LEUNG KUK MRS TAM WAH CHING KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,https://www.plkkgs.edu.hk/plkmtwckg
542768000112,保良局譚華正夫人幼稚園,PO LEUNG KUK MRS TAM WAH CHING KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,https://www.plkkgs.edu.hk/plkmtwckg
549240000112,英基雅柏國際幼稚園,ESF ABACUS INTERNATIONAL KINDERGARTEN,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,https://abacus.lg.esf.edu.hk
158704000111,廣林浸信會呂郭碧鳳幼稚園,KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN,幼稚園,KINDERGARTEN,SHA TIN,PRIVATE,http://www.kwonglambaptist-kg.edu.hk
152579000111,滿樂幼稚園,MOON LOK KINDERGARTEN,幼稚園,KINDERGARTEN,TSUEN WAN,PRIVATE,http://www.abmsbc.org.hk
158704000112,廣林浸信會呂郭碧鳳幼稚園,KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN,幼稚園,KINDERGARTEN,SHA TIN,PRIVATE,http://www.kwonglambaptist-kg.edu.hk
158704000113,廣林浸信會呂郭碧鳳幼稚園,KWONG LAM BAPTIST LUI KWOK PAT FONG KINDERGARTEN,幼稚園,KINDERGARTEN,SHA TIN,PRIVATE,http://www.kwonglambaptist-kg.edu.hk
152579000112,滿樂幼稚園,MOON LOK KINDERGARTEN,幼稚園,KINDERGARTEN,TSUEN WAN,PRIVATE,http://www.abmsbc.org.hk
325635000111,基督教香港信義會南昌幼稚園,EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN,幼稚園,KINDERGARTEN,SHAM SHUI PO,PRIVATE,http://www.elchkkg.edu.hk/nam-cheong
156230000112,粉嶺浸信會呂明才幼稚園,FANLING BAPTIST CHURCH LUI MING CHOI KINDERGARTEN,幼稚園,KINDERGARTEN,NORTH,PRIVATE,http://www.fbclmckg.edu.hk
325090000113,港澳信義會錫安紀念幼稚園,HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN,幼稚園,KINDERGARTEN,WONG TAI SIN,PRIVATE,http://hkmlcsok.edu.hk
325090000112,港澳信義會錫安紀念幼稚園,HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN,幼稚園,KINDERGARTEN,WONG TAI SIN,PRIVATE,http://hkmlcsok.edu.hk
578126000113,柴灣浸信會學前教育中心呂明才幼稚園（小西灣）,CHAI WAN BAPTIST CHURCH PRE-SCHOOL EDUCATION LUI MING CHOI KINDERGARTEN (SIU SAI WAN),幼稚園,KINDERGARTEN,EASTERN,PRIVATE,http://www.cwbc.edu.hk
156230000111,粉嶺浸信會呂明才幼稚園,FANLING BAPTIST CHURCH LUI MING CHOI KINDERGARTEN,幼稚園,KINDERGARTEN,NORTH,PRIVATE,http://www.fbclmckg.edu.hk
158313000112,新界神召會懷恩幼稚園,N.T. ASSEMBLIES OF GOD CHURCH WAI YAN KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://waiyankin.edu.hk
158313000111,新界神召會懷恩幼稚園,N.T. ASSEMBLIES OF GOD CHURCH WAI YAN KINDERGARTEN,幼稚園,KINDERGARTEN,YUEN LONG,PRIVATE,http://waiyankin.edu.hk
325090000111,港澳信義會錫安紀念幼稚園,HONG KONG AND MACAU LUTHERAN CHURCH SHEK ON MEMORIAL KINDERGARTEN,幼稚園,KINDERGARTEN,WONG TAI SIN,PRIVATE,http://hkmlcsok.edu.hk
