school_name_en,school_name_zh,edb_id,level,district,baseName
GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (REPULSE BAY),GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (REPULSE BAY),edb_602256000111,幼稚園,南區,GUIDEPOST MONTESSORI INTERNATIONAL PRE
GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG),GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG),edb_578630000111,幼稚園,西貢區,GUIDEPOST MONTESSORI INTERNATIONAL PRE
GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG),GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG),edb_578630000112,幼稚園,西貢區,GUIDEPOST MONTESSORI INTERNATIONAL PRE
HARROW INTERNATIONAL SCHOOL HONG KONG,哈羅香港國際學校,edb_590800000113,幼稚園,屯門區,HARROW INTERNATIONAL SCHOOL HONG KONG
HONG KONG ACADEMY,香港學堂國際學校,edb_539155000311,幼稚園,西貢區,HONG KONG ACADEMY
INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL,國際基督教優質音樂中學暨小學,edb_553867000323,小學,黃大仙區,INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL
INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL,國際基督教優質音樂中學暨小學,edb_553867000333,中學,黃大仙區,INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL
INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN,基督教國際學校－幼稚園,edb_542598000211,幼稚園,沙田區,INTERNATIONAL CHRISTIAN SCHOOL
INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN,基督教國際學校－幼稚園,edb_542598000212,幼稚園,沙田區,INTERNATIONAL CHRISTIAN SCHOOL
INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES),INTERNATIONAL COLLEGE HONG KONG (NEW TERRITORIES),edb_578789000133,中學,北區,INTERNATIONAL COLLEGE HONG KONG
INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (KINDERGARTEN SECTION),edb_230944000112,幼稚園,大埔區,INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN
